"Cell.ID","Species.Richness","EN.CR.Richness","SES.Mean","SES.SD","PD.Org.Mean","PD.Org.SD","PD.NoEN.Mean","PD.NoEN.SD","PD.Rnd.Mean","PD.Rnd.SD"
"Cell.ID.4142",16,3,-1.31247117876039,0.315601496103317,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.25021845034,10.5337272387784
"Cell.ID.4143",16,3,-1.30967226572455,0.296754727199771,334.64054977,7.73404579523886,319.07928598,6.1564958828998,304.95191076249,10.784250850319
"Cell.ID.4144",16,3,-1.27316667291653,0.299736309135655,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.07582870266,10.9908319019398
"Cell.ID.4145",16,3,-1.28159035700074,0.291002451038586,334.64054977,7.73404579523886,319.07928598,6.1564958828998,304.92257858093,11.025216874342
"Cell.ID.4146",16,3,-1.27820958878077,0.301466987156486,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.36757531516,10.7121488751374
"Cell.ID.4147",16,3,-1.25028141580523,0.298735796478596,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.55421685662,10.8073415522465
"Cell.ID.4148",18,3,-1.45106492530013,0.304787524786064,367.61054977,7.73404579523886,352.04928598,6.15649588289981,336.42967843807,10.764519727159
"Cell.ID.4149",20,3,-1.19041345813377,0.331233789884529,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.74256919661,10.7624426782465
"Cell.ID.4150",20,3,-1.19974576551102,0.317529484394516,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.43863353584,10.9274277635975
"Cell.ID.4151",20,3,-1.18577363955522,0.327777935662903,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.61585729664,10.9140605418843
"Cell.ID.4152",20,3,-1.19610703301357,0.330277792632535,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.46399733888,10.9523967674538
"Cell.ID.4153",20,3,-1.15294140071148,0.305269663817374,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.13409739233,11.6280711016946
"Cell.ID.4154",20,3,-1.19576183272617,0.308728898523027,378.11534545,8.8186781411699,362.55408166,7.49212231724718,348.86928420533,11.449842787986
"Cell.ID.4155",20,3,-1.17330871877918,0.324765099725976,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.44180860775,11.1926525019007
"Cell.ID.4156",20,3,-1.1815132665922,0.311501045336198,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.2827926676,11.2245966522334
"Cell.ID.4157",20,3,-1.21571467024387,0.311264962135039,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.04957262263,11.0878566444552
"Cell.ID.4158",20,3,-1.1548929488049,0.314946703338412,378.11534545,8.8186781411699,362.55408166,7.49212231724718,349.61829976519,11.1987009188813
"Cell.ID.4159",19,3,-1.27642944455617,0.319067087885763,373.34194365,8.33877123924827,357.78067986,6.88646417617793,343.93242101174,10.8447828764892
"Cell.ID.4160",18,3,-1.15683266919425,0.343850592955739,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.89817762488,10.1677682714645
"Cell.ID.4161",18,3,-1.18526894359835,0.354996410368891,350.22194365,8.33877123924825,334.66067986,6.88646417617792,323.18734285564,9.65452839304194
"Cell.ID.4162",18,3,-1.16867776883677,0.336981407744174,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.73826358312,10.1907813850763
"Cell.ID.4163",18,3,-1.17090349717294,0.33966707011702,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.93991098713,9.99276260407694
"Cell.ID.4164",18,3,-1.23640405668908,0.344057088783297,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.16208541229,10.1098919606512
"Cell.ID.4165",18,3,-1.2026881254492,0.342419631260205,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.39006502716,10.2024223474847
"Cell.ID.4166",18,3,-1.15354256053655,0.340941064078082,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.60345392182,10.4555533127881
"Cell.ID.4167",18,3,-1.22964045609867,0.336859726375664,350.22194365,8.33877123924825,334.66067986,6.88646417617792,321.88646700416,10.3962951627585
"Cell.ID.4168",18,3,-1.12879839488184,0.335935079037123,350.22194365,8.33877123924825,334.66067986,6.88646417617792,323.06343697742,10.2582762175179
"Cell.ID.4169",18,3,-1.22365185075205,0.343382851052211,350.22194365,8.33877123924825,334.66067986,6.88646417617792,322.20681344496,10.1731982721914
"Cell.ID.4502",16,3,-1.34228232484374,0.300103497785305,334.64054977,7.73404579523886,319.07928598,6.1564958828998,304.89011115382,10.5518559990384
"Cell.ID.4503",16,3,-1.30186611405733,0.298200390512116,334.64054977,7.73404579523886,319.07928598,6.1564958828998,304.80258505934,10.9615414927993
"Cell.ID.4504",16,3,-1.25657699631204,0.305842043274158,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.5464742644,10.7723651742655
"Cell.ID.4505",16,3,-1.22712029657733,0.289376474475675,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.6334938972,10.9425979776748
"Cell.ID.4506",16,3,-1.26395079907706,0.304448322765208,334.64054977,7.73404579523886,319.07928598,6.1564958828998,305.43270495553,10.7897117880409
